Id,Keywords,Authors,Accesses,Journal,main_topic_15
2236,"['Self-directed humor', 'Humor styles questionnaire', 'Big five', 'Well-being', 'Incremental validity', 'Measurement']",Ryota Tsukawaki,82,Current Psychology,Geography 2
2237,"['Chromatic number', 'Triangle-free', 'Broom-free', '05C15']",Naoki Matsumoto,59,Aequationes mathematicae,Education
2238,"['Pseudomonotone bifunction', 'Equilibrium problem', 'Weak convergence', 'Lipschitz-type conditions', 'Variational inequality problem']",Habib ur Rehman & Poom Kumam,270,Journal of Inequalities and Applications,Geography 2
2239,"['Psychological inflexibility', 'Experiential avoidance', 'Cognitive fusion', 'Depression', 'Anxiety']",Issa Hekmati,101,Current Psychology,Education
2240,"['People-based marketing', 'Online purchase', 'Sentimental analytics', 'Twitter analytics', 'Text analytics', 'R programming']",Pushpendu Rakshit,136,SN Computer Science,Education
2241,"['Frequentism', 'Probability', 'Typicality', 'Arrow of time']",Mario Hubert,111,Synthese,Geography
2242,"['Psychosocial assessment', 'Confirmatory factor analysis', 'Criterion validity', 'Internal consistency', 'Anxiety control', 'Pregnancy']",Verónica Martínez-Borba & Carlos Suso-Ribera,45,Current Psychology,Mathematics
2243,"['Teacher attitudes', 'Teacher enjoyment', 'Turning points', 'Mathematics teaching', 'Primary teaching']","James Russo, Ann Downton, Sally Hughes, Sharyn Livy, Melody McCormick & Peter Sullivan",940,Mathematics Education Research Journal,Biomedicine
2244,"['Renewable fuels', 'Share mandates', 'Intensity standards', 'Cost containment mechanisms', 'Hybrid policies', 'H23', 'Q42', 'Q54', 'Q58']",Gabriel E. Lade,31,Environmental and Resource Economics,Biomedicine
2245,[],Ricardo Noguera-Solano & Rosaura Ruiz-Gutiérrez,64,Science & Education,Geography
2246,"['port & shipping service enterprises', 'spatial distribution', 'regional differentiation', 'hub port city', 'Yangtze River Delta']","Youhui Cao, Shilin Ye, Wei Wu & Shuangbo Liang",73,Chinese Geographical Science,Psychology
2247,"['Generalized vector equilibrium problems', 'Solution sets', 'Scalarization function', 'Connectedness', 'Free-disposal set', '49K40', '90C26', '90C29', '90C31']","Chong-Yang Shao, Zai-Yun Peng & Yong Zhao",72,Optimization Letters,Psychology
2248,"['Augmented reality', 'Grids', 'Distance estimation', 'Holograms', 'Spatial cognition', 'Augmented Reality', 'Gitter', 'Distanzschätzung', 'Hologramm', 'Raumwahrnehmung']","Julian Keil, Annika Korte, Anna Ratmer, Dennis Edler & Frank Dickmann",512,"PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science",Physics
2249,"['university accreditation', 'conflict of interest', 'Chile']",Agustín Barroilhet,339,Higher Education Policy,Psychology
2250,"['Optimal control', 'Boundary control', 'Marginal function', 'Non-isothermal flows', 'Aqueous polymer solutions', 'Boussinesq equations', '49J20', '35Q35', '35Q79']",Evgenii S. Baranovskii,51,Journal of Optimization Theory and Applications,Physics 2
2251,"['Phenomenology', 'Illness', 'Pathology', 'Husserl', '\nEpoché\n']",Havi Carel,1109,Continental Philosophy Review,Criminology and Crime Justice
2252,[],Gemma Ubasart-González,384,"Crime, Law and Social Change",Physics
2253,"['\nAconitum\n', 'Medicinal herb', 'Phytochemistry', 'Diterpenoids', 'Pharmacological activities', 'Toxicology']","Sabeena Ali, Qazi Parvaiz Hassan & Sumit G. Gandhi",68,Advances in Traditional Medicine,Geography 2
2254,"['International debt', 'Default risk', 'International reserves']",Wilfredo L. Maldonado,48,International Economics and Economic Policy,Economics
2255,"['Cancer', 'Oncology', 'Integration', 'Foundational Science', 'Medical Education']","Catherine Zivanov, Xuanyi Li, Kaustav P. Shah, Lourdes Estrada, William B. Cutrer, Mary Hooks, Vicki Keedy & Kimberly Brown Dahlman",13,Medical Science Educator,Education
2256,"['Regional public debt', 'Ratings', 'Sustainability', 'Economic crisis', 'Ordered probit models', 'H70', 'H63', 'H77', 'G24', 'C24']",Santiago José Pérez-Balsalobre,88,Empirica,Computer Science
2257,"['COVID-19', 'Coronavirus', 'SARS-CoV-2', 'Thermodynamics', 'Virus-cell interactions', 'ACE2', 'Conformational changes', 'Glycosylation', 'Hydrophobicity']",Azadeh Sepahvandi,187,Molecular Biomedicine,Psychology 2
2258,"['Rationalization', 'Attunement', 'Affect', 'Cultural affect', 'Situatedness', 'Episteme', 'Affectivity']",Paul Schuetze & Imke von Maur,569,Phenomenology and the Cognitive Sciences,Biomedicine
2259,"['Legal services', 'Accessibility of services', 'Victimization']",Leana A. Bouffard & Amanda Goodson,707,American Journal of Criminal Justice,Education
2260,"['Price signalling', 'Diamond paradox', 'Incomplete information', 'Price war', 'D82', 'C72', 'D41']",Sander Heinsalu,170,Economic Theory,Geography 2
2261,"['Differential K-theory', 'Differential cohomology', 'Differential characters', 'Chern–Simons theory', '19L50', '53C08']",Ishan Mata,30,Journal of Homotopy and Related Structures,Geography 2
2262,"['Islam', 'Religiosity', 'Ethical decision-making', 'Ethical reasoning', 'Malaysia']",Rahizah Binti Sulaiman,4,Asian Journal of Business Ethics,Economics
2263,"['Virtual lab', 'Online research', 'Crowdsourcing']",Abdullah Almaatouq & Nicolas Paton,429,Behavior Research Methods,Mathematics
2264,"['Illegal earnings', 'Gender and crime', 'Criminal achievement', 'Stratification']",Holly Nguyen & Brandy R. Parker,115,Journal of Quantitative Criminology,Psychology
2265,"['Switching constraints', 'W-stationarity', 'W-index', 'Morse theory', 'Strong stability', 'Linear independence constraint qualification', '90C26', '90C31']",Vladimir Shikhman,12,Set-Valued and Variational Analysis,Geography
2266,"['Contractarianism', 'Justice', 'Social insurance', 'H1', 'D63', 'D9']",Francesco Guala,133,International Review of Economics,Psychology
2267,"['Advocacy', 'Self-efficacy', 'Case study', 'STEM', 'Teacher leadership']",Richard Carlos L. Velasco,278,International Journal of Science and Mathematics Education,Psychology
2268,"['Direct ionization', 'Hydrogen-like atoms', 'Triple differential cross-section', 'Born approximations']",T. E. I. Nassar,9,Brazilian Journal of Physics,Computer Science
2269,"['Electron acceleration', 'Lower hybrid wave', 'Magnetic mirror', 'Dephasing', 'Plasma density']","Ram Jeet, Arvind Kumar, Asheel Kumar, Sanjay Babu & Ashish Varma",0,Journal of the Korean Physical Society,Geography 2
2270,"['Flexible compound', 'Optoelectronic and thermoelectric devices', 'Plasmon energy', 'Birefringence property']",Maryam Bashi & Hossein Asghar Rahnamaye Aliabad,28,Optical and Quantum Electronics,Psychology 2
2271,"['ParA', 'IncC', 'Deamidation', 'Intrinsic disorder', 'IsoAspartate']",M. Fayyaz Rehman & E. I. Hyde,78,Biomolecular NMR Assignments,Biomedicine
2272,"['Micro places', 'Legitimacy', 'Satisfaction with police', 'Attitudes', 'Mapping']",Andrew P. Wheeler,534,Journal of Quantitative Criminology,Education
2273,"['Labeling theory', 'Official intervention', 'Social support', 'Life course', 'Moderation']",Beidi Dong,781,Journal of Developmental and Life-Course Criminology,Psychology
2274,[],Sara M. Scharoun Benson,49,Psychological Research,Psychology
2275,"['Qinghai-Tibet Plateau', 'population migration', 'migration big data', 'flow radiation model', 'spatiotemporal interaction mode']","Nan Wang, Huimeng Wang, Yunyan Du, Jiawei Yi, Zhang Liu & Wenna Tu",13,Journal of Geographical Sciences,Psychology 2
2276,"['Metaphysical indeterminacy', 'Open future', 'Quantum mechanics', 'Spontaneous collapse models']",Cristian Mariani,74,Synthese,Education
2277,"['Comodule algebra', 'field algebra', 'observable algebra', 'commutant', 'duality', '16T05', '46L05', '46N50', '81R15']",Xiaomin Wei 魏晓敏 & Lining Jiang 蒋立宁,0,Acta Mathematica Scientia,Education
2278,"['Chenodeoxycholic acid', 'Deoxycholic acid', 'Cardiac contractility', 'Heart rate', 'Cholestasis']","Jie Gao, Guanyin Yuan, Zhan Xu, Luyao Lan & Wenkuan Xin",159,Naunyn-Schmiedeberg's Archives of Pharmacology,Education
2279,"['Count data', 'Non-parametric model', 'Credit scoring', 'Prediction']",Sami Mestiri & Abdeljelil Farhat,85,Journal of Quantitative Economics,Education
2280,"['General strain theory', 'Types of bullying', 'Physical bullying', 'Verbal bullying', 'Relational bullying', 'Cyber bullying']",Megan Stubbs-Richardson,224,American Journal of Criminal Justice,Psychology
2281,"['Asymptotic optimality', 'kernel-local smoothing method', 'Mallows-type criterion', 'model averaging', 'varying-coefficient single-index model']",Yue Liu,4,Journal of Systems Science and Complexity,Mathematics
2282,"['Convention', 'Game theory', 'Signaling', 'Learning', 'Experimental philosophy', 'Meaning', 'Evolution']",Calvin T. Cochran,68,Synthese,Education
2283,"['Digital survey app', 'Collaborative map', 'Slum mapping', 'Usability', 'Online map']",Trias Aditya,303,Applied Geomatics,Psychology 2
2284,"['Coronavirus', 'Universities', 'Students', 'Mental health', 'Quality of life']",Hasan Huseyin Cam,393,Current Psychology,Criminology and Crime Justice
2285,"['Emotion', 'Language', 'Neuroscience', 'Neuroimaging', 'Lesion']",Ajay B. Satpute,226,Affective Science,Psychology 2
2286,"['Nucleon-rich', 'Yrast spectrum', 'Back bending', 'Electromagnetic transition probability', 'Projected shell model']",Maryam Moonesi & Alireza Haghpeima,32,Journal of the Korean Physical Society,Computer Science
2287,[],"Áttis V. M. Marino, Lucas Madeira & Vanderlei S. Bagnato",51,The European Physical Journal Special Topics,Economics 2
2288,[],Antoine Henrot,83,Archive for Rational Mechanics and Analysis,Education
2289,"['Hubble tension', 'Modified gravity', 'Dark energy', 'Dark matter']",C Sivaram,19,Indian Journal of Physics,Biomedicine
2290,"['Games', 'Learning games', 'Educational games', 'Computer games', 'Commercial games', 'Minecraft', 'Civilization', 'Gaming', 'Instructional design']",Victor R. Lee,141,Educational Technology Research and Development,Psychology
2291,[],Daniele De Santis,101,Husserl Studies,Psychology
2292,"['Continuous/discrete Lagrangian and Hamiltonian modelling', 'Fractional derivatives', 'Fractional dissipative systems', 'Fractional differential equations', 'Variational principles', 'Variational integrators', '26A33', '37M99', '65P10', '70H25', '70H30']",Fernando Jiménez,34,Journal of Nonlinear Science,Mathematics
2293,[],"Adam R. Congleton, Niels Peter Nielsen & Dorthe Berntsen",291,Psychological Research,Education
2294,"['Adolescents', 'Transactional sex', 'Motivation of engagement', 'Nigeria']",Temitope Joshua Adeusi,54,Sexuality Research and Social Policy,Geography 2
2295,[],Shamsun Naher Dolon & Rabindra Nath Mondal,170,The European Physical Journal Plus,Mathematics
2296,"['Ischemia', 'Neurons', 'Oligodendrocytes', 'Neural progenitor cells', 'Inflammation', 'Immune cells']","Mia C. Borlongan, Chase Kingsbury, Felipe Esparza Salazar, Alma R. Lezama Toledo, German Rivera Monroy, Nadia Sadanandan, Blaise Cozene, Bella Gonzales-Portillo, Madeline Saft, Zhen-Jie Wang, Alexa Moscatello & Jea Y. Lee",237,NeuroMolecular Medicine,Psychology
2297,[],Nick Sheridan,547,Inventiones mathematicae,Economics 2
2298,"['Computational design', 'Graph partitioning', 'Puzzles']",Naoki Kita,236,The Visual Computer,Psychology 2
2299,"['Intracranial pressure', 'Conservative', 'Etiology', 'Surgery']",Nir Shimony & George I. Jallo,48,Acta Neurologica Belgica,Biomedicine
2300,"['Implicit bias', 'Gender medicine', 'Provider characteristics', 'Medical education']",Tiffany Champagne-Langabeer & Andrew L. Hedges,327,BMC Medical Education,Physics
2301,"['Work stressors', 'Job satisfaction', 'Turnover intention', 'Prosecutors']",Chongmin Na,671,American Journal of Criminal Justice,Education
2302,"['Situational crime prevention', 'Wildlife crime', 'Conservation', 'Poaching', 'Trafficking', 'Crime concentration']",Justin Kurland,15000,Crime Science,Philosophy
2303,"['Substance use', 'Prisoners', 'Prisoner reintegration', 'Reentry', 'The life-course', 'Recidivism', 'Service needs']",Nathan Wong Link,3108,Health & Justice,Mathematics
2304,[],Gary Kemp,913,Acta Analytica,Education
2305,"['Abortion', 'Self-managed abortion', 'Attitudes', 'Public opinion', 'Legality']","Sarah Raifman, M. Antonia Biggs, Lauren Ralph, Katherine Ehrenreich & Daniel Grossman",510,Sexuality Research and Social Policy,Economics 2
2306,"['Maternal separation (MS)', 'Post-traumatic stress disorder (PTSD)', 'Brain-derived neurotrophic factor (BDNF)', 'Histone acetylation', 'Histone deacetylase 2(HDAC2)', 'Synaptic ultrastructure']",Haoran Sun,590,Molecular Neurobiology,Computer Science
2307,"['Autonomous weapons systems', 'Recognition respect', 'Sortal dignity', 'Jus in bello', 'Pro tanto wrong']",Garry Young,27,Ethics and Information Technology,Psychology 2
2308,"['Motorcycle clubs', 'Motorcyle gangs', 'Outlaw motorcycle clubs/gangs', 'Law enforcement', 'Label consequences']",Tom Barker,600,American Journal of Criminal Justice,Mathematics
2309,"['Nontechnical skills', 'Simulation-based training', 'Operating room', 'Teamwork', 'Inter-professional education']",Deborah D. Garbee & Laura S. Bonanno,29,Medical Science Educator,Criminology and Crime Justice
2310,"['Bi-factor model', 'Career-related teacher support', 'Career-related Teacher Support Scale', 'Chinese technical college students', 'Measurement', 'Reliability', 'Validity']",Jiahong Zhang & Gaowei Chen,275,International Journal for Educational and Vocational Guidance,Computer Science
2311,"['Asymmetries of power', 'Clinical education', 'Ethnography', 'Implicit curriculum', 'Impression management']",Peter Cantillon,868,Advances in Health Sciences Education,Philosophy
2312,"['Caregiving', 'Non-disabled siblings', 'Families', 'Taiwan', 'Disability']",Chun-Yu Chiu,6,Journal of Developmental and Physical Disabilities,Geography 2
2313,"['Core Banks', 'Ocracoke Island', 'Barrier islands geomorphology', 'Island width', 'Shorelines', 'Island migration']",Paul J. Paris & Helena Mitasova,259,Journal of Coastal Conservation,Physics 2
2314,"['Personalized medicine', 'Machine learning', 'Cognitive-behavioral therapy', 'Depression']","Lorenzo Lorenzo-Luaces, Allison Peipert, Robinson De Jesús Romero & Lauren A. Rutter",363,International Journal of Cognitive Therapy,Psychology
2315,"['Financial leverage', 'SGR', 'Tobin’s Q', 'ROA', 'ROE', 'ROS', 'GMM', 'Pakistan', 'C23', 'G32', 'G33', 'L25']","Muhammad Akhtar, Kong Yusheng & Muhammad Haris",56,Economic Change and Restructuring,Criminology and Crime Justice
2316,"['construction of ecological civilisation', 'spatial autocorrelation', 'spatial pattern', 'geographically weighted regression (GWR)', 'China']","Yan Du, Weishan Qin, Jianfeng Sun, Xiaohui Wang & Haoxin Gu",87,Chinese Geographical Science,Biomedicine
2317,"['PVA', 'PAA', 'ASPE', 'MCC']","Xiaoxia Cai, Cong Li, Qiang Wang & Wenjia Han",3,Applied Physics A,Philosophy
2318,"['Purely coclosed G\\(_2\\)-structure', '2-Step nilpotent Lie algebra', 'Metric Lie algebra', 'G\\(_2\\)-Strominger system', '53C15', '22E25', '53C30']",Viviana del Barco & Andrei Moroianu,18,Revista Matemática Complutense,Computer Science
2319,"['Meta-learning', 'Learning to learn', 'Few-shot learning', 'Transfer learning', 'Deep learning']","Mike Huisman, Jan N. van Rijn & Aske Plaat",19,Artificial Intelligence Review,Mathematics
2320,"['fetch length', 'mass flux profile', 'grain size distribution', 'sand transport', 'wind tunnel experiment']","Zongyan Chen, Fengjun Xiao & Zhibao Dong",47,Journal of Arid Land,Mathematics
2321,"['TSG101', 'AKT', 'β-Catenin', 'RhoC', 'Cofilin', 'Glioma']","Yufu Zhu, Yang Xu, Tianze Chen, Qiang Ma, Sunil Rauniyar, Lei Wang & Hengliang Shi",153,Molecular Neurobiology,Geography
2322,"['Quantity, quality and accessibility public open space standard', 'Public open space', 'Open space strategy', 'Local plan', 'London Boroughs, National Planning Policies Framework']",Lucia Nucci,1914,"City, Territory and Architecture",Economics
2323,"['Minimal product differentiation', 'Profit possibility frontier', 'Profit sharing rule', 'Subgame perfect Nash equilibrium', 'Unique equilibrium', 'C72', 'C73']",Kali P. Rath,23,Economic Theory Bulletin,Geography
2324,"['Specialty selection', 'Influential factors', 'Low-and middle-income countries', 'Medical students']",Yaser Sarikhani,415,BMC Medical Education,Psychology 2
2325,"['Anxiety', 'Depression', 'Remote', 'Sensor', 'Wearable']",Donald M. Hilty,187,Journal of Technology in Behavioral Science,Psychology
2326,[],Lydia Pelot-Hobbs,354,Critical Criminology,Education
2327,"['Intimate partner abuse', 'Arrest', 'Tracking', 'Predictive factors']",Owain Richards,778,Cambridge Journal of Evidence-Based Policing,Mathematics
2328,"['Initial alignment', 'MIMU/GPS/magnetometer', 'Mahalanobis distance', 'Robust estimation', 'Sequential Kalman filter']","Shida Wang, Hang Yu & Haobo Li",1307,The Journal of Global Positioning Systems,Psychology
2329,"['Ensemble perception', 'Object recognition', 'Diversity judgment', 'Experience', 'Expertise']","Oakyoon Cha, Randolph Blake & Isabel Gauthier",243,"Attention, Perception, & Psychophysics",Education
2330,[],"Olga Chivilgina, Bernice S. Elger & Fabrice Jotterand",267,Science and Engineering Ethics,Geography 2
2331,"['Cloud computing', 'Cloud federation', 'Trust evaluation framework', 'Cloud trusted model']",Rabia Latif,18,The Journal of Supercomputing,Economics
2332,"['Realism', 'Scientific realism', 'Anti-representationalism', 'Ontology', 'Metaphysics', 'Pragmatism', 'Truth', 'Price, Huw', 'Rorty, Richard', 'Peirce, C. S.']",Henrik Rydenfelt,2498,Synthese,Psychology
2333,"['Discrete dynamic models', 'Optimization methods', 'Parallel computing', 'Parallelization', 'GPU', 'GPGPU']",Iryna Strubytska,40,SN Computer Science,Physics
2334,"['Shadow education', 'Investment', 'Burden', 'Workload', 'Private supplementary tutoring', 'Bangladesh']",Rafsan Mahmud,440,Asia Pacific Education Review,Computer Science
2335,"['Higher education', 'Transformation', 'Change', 'Policy', 'Targets', 'Race']","François B. Van Schalkwyk, Milandré H. van Lill, Nico Cloete & Tracy G. Bailey",189,Higher Education,Mathematics
2336,"['rDNA technology', 'CRISPR', 'Cas', 'gene editing', 'spacers', 'genetic engineering', 'crop improvement']",Arvinder Singh & Muskan Bokolia,19,Resonance,Education
2337,"['Bureaucracy', 'Capitalism', 'Corporate law', 'Managerialism', 'Social autonomy']",Michael Galanis,1281,Law and Critique,Computer Science
2338,"['Orthogonal product state', 'Quantum nonlocality without entanglement', 'Local operations and classical communication']",Guang-Bao Xu & Dong-Huan Jiang,39,Quantum Information Processing,Geography
2339,"['3D computer modeling', 'Twenty-first century skill', 'Secondary school students']",Tuğra Karademir Coşkun,142,International Journal of Technology and Design Education,Education
2340,"['Zn1−xInxS', 'Coprecipitation technique', 'XRD analysis', 'Optical properties', 'Antibacterial activity']","Anu Dhupar, Suresh Kumar, Vandana Sharma & Jatinder Kumar Sharma",45,Applied Physics A,Psychology
2341,"['Chronic pain', 'Mindfulness', 'Rumination', 'Values', 'Depression', 'Path analysis']","Sérgio A. Carvalho, Ana Xavier, José Pinto-Gouveia & Paula Castilho",236,Current Psychology,Geography
2342,"['Campus safety', 'School safety', 'School firearm policy', 'Concealed-carry', 'Student behavior', 'Student and faculty attitudes']","Michael J. Kyle, Joseph A. Schafer & Matthew J. Giblin",3308,American Journal of Criminal Justice,Mathematics
2343,"['Replication', 'Common information', 'Coordination games', 'Group identity', 'C71', 'C91', 'D71']",Roy Chen,1921,Experimental Economics,Geography
2344,"['Social dilemma', 'Public good', 'Effective communication', 'Cooperation', 'Deliberation', 'C71', 'C92', 'H41', 'Q48', 'Q59']","Ann-Kathrin Koessler, Juan Felipe Ortiz-Riomalo, Mathias Janke & Stefanie Engel",169,Environmental and Resource Economics,Education
2345,"['Medicaid', 'Child Support', 'Health Insurance', 'Tennessee']",Lindsey Rose Bullinger,86,Review of Economics of the Household,Geography
2346,"['Open geodata integration', 'Data quality', 'Data consistency', 'Ontology', 'Semantic technologies']","Linfang Ding, Guohui Xiao & Diego Calvanese",236,GeoInformatica,Economics
2347,[],"Saptarshi Saha, Chiranjeeb Singha & Arpan Chatterjee",184,The European Physical Journal C,Economics
2348,"['Cooperative', 'Android', 'GNSS', 'Measurement sharing']",Ciro Gioia & Daniele Borio,778,Applied Geomatics,Mathematics
2349,[],David Fajman,130,Communications in Mathematical Physics,Computer Science
2350,"['Behavioral health services', 'Neighborhood disadvantage', 'Recidivism', 'Mental health court', 'Offenders with mental illness']",Woojae Han,537,Journal of Experimental Criminology,Biomedicine
2351,"['dropwise-filmwise hybrid surface', 'dropwise condensation region width', 'filmwise condensation region width', 'drop-size distribution', 'maximum radius to region width ratio']",Abdulwahab Alhashem,4,Journal of Thermal Science,Mathematics
2352,"['protected areas', 'spatial structure', 'accessibility', 'national park system', 'ecological civilization']",Baicui Xu & Jinghu Pan,42,Journal of Geographical Sciences,Education
2353,"['Time–frequency domain connectedness', 'Network analysis', 'Crude oil market', 'Dynamic correlation', 'C50', 'C61', 'Q40']",Niyati Bhanja,196,Computational Economics,Criminology and Crime Justice
2354,"['Laplace periodogram', 'Log periodogram regression', 'Long-memory process', 'Quantile periodogram']",Yaeji Lim,14,Empirical Economics,Education
2355,"['Higher education', 'Diversity policies', 'Gender', 'Ethnicity', 'Equality', 'New public management']",Dounia Bourabain & Pieter-Paul Verhaeghe,51,Higher Education Policy,Mathematics
2356,"['Persuasion', 'Ethics', 'Openness', 'Respect', 'Moral psychology']",Ryan W. Davis & Rachel Finlayson,149,Ethical Theory and Moral Practice,Computer Science
2357,"['Melter-Richard model', 'Redistributive preferences', 'Objective income position', 'Objective social position', 'Perceived social position', 'Perceived actual inequality', 'Personal norms of inequality', 'Perceived injustice']",Gwangeun Choi,89,The Journal of Economic Inequality,Computer Science
2358,"['complex sulfides', 'MnS–Tb2S3 system', 'phase diagram', 'solid solutions', 'thermal analysis']",Lyudmila N. Monina & Oleg V. Andreev,48,Journal of Phase Equilibria and Diffusion,Physics
2359,"['Coastal reclamation', 'Wetlands ecosystem', '\nScirpus mariqueter\n', 'Gradient analysis', 'Curve estimation', 'Thresholds']","Chengwei Li, Yandong Tao, Meng Zhao, Kefeng Yu & Shubo Fang",220,Journal of Coastal Conservation,Criminology and Crime Justice
2360,"['TCGA', 'SKCM', 'TMB', 'ICB', 'Survival analysis']",Liwei Wang & Rui Liu,183,BMC Cancer,Mathematics
2361,"['Robust synchronization', 'Sampled-data control', 'Uncertain neural networks', 'Packet dropout']",Ganlei Zhang & Wei Li,0,Applied Intelligence,Economics
2362,[],Mehdi Biderang,51,The European Physical Journal B,Biomedicine
2363,"['Climate change', 'Flood risk', 'Insurance', 'Resilience', 'Blockchain']",Emanuele Vannucci,197,Decisions in Economics and Finance,Philosophy
2364,"['COVID-19', 'Coronavirus', 'Political belief', 'Protest vote', 'Geolocation data', 'P16', 'C55', 'H7']",Paolo Nicola Barbieri,248,Economia Politica,Mathematics
2365,"['Face recognition', 'Local binary pattern', 'Convolutional neural network', 'Mobile learning', 'Image']",Dongmei Shi,90,Multimedia Tools and Applications,Mathematics
2366,"['\nTunga penetrans\n', 'Zoonosis', 'Ectoparasite', 'Morbidity', 'Public health', 'Neglected tropical disease']",Francis Mutebi,35,Parasitology Research,Economics 2
2367,"['Corporal punishment', 'Agency', 'Communion', 'Self-esteem', 'Girls']",Cong Fu,335,Sex Roles,Criminology and Crime Justice
2368,"['Polluter pays principle', 'External costs', 'Regulatory impact assessment', 'D62', 'H23', 'K2']",Dieter Schmidtchen,259,Environmental Economics and Policy Studies,Biomedicine
2369,"['Shore protection history', 'Coastal erosion', 'Shore protection', 'Vernacular structures', 'Beach nourishment', 'ICZM']",Enzo Pranzini,1174,Journal of Coastal Conservation,Education
2370,"['Malthusian model', 'Statehood', 'Multiple steady states', 'N40', 'N43', 'N45', 'O11', 'O43', 'J11']",Nils-Petter Lagerlöf,371,Journal of Economic Growth,Computer Science
2371,"['Colorectal cancer', 'Rural health, screening', 'Community engagement']","Arnethea L. Sutton, Michael A. Preston, Maria Thomson & Vanessa B. Sheppard",175,Journal of Cancer Education,Criminology and Crime Justice
2372,"['Plagiarism', 'Undergraduate students', 'Higher education', 'Europe']",Jorge Ávila de Lima,71,Journal of Academic Ethics,Education
2373,"['Landsat-8', 'Machine learning', 'Remote sensing', 'Sand dune']",Mojtaba Mohammadpoor,127,Journal of Coastal Conservation,Geography
2374,"['Mathematics education researchers', 'Interdisciplinary collaborations', 'Research practice', 'Policy']","Elizabeth Suazo-Flores, Hanan Alyami, William S. Walker III, Mahtob Aqazade & Signe E. Kastberg",105,Mathematics Education Research Journal,Philosophy
2375,"['VAWT', 'wind tunnel experiments', 'CFD', 'spanwise direction', 'pressure distribution', 'power coefficient']",Yanfeng Zhang,12,Journal of Thermal Science,Education
2376,"['Virtual education', 'Digital teaching practice', 'Preschool', 'Elementary school', 'COVID-19', 'Education challenges', 'Pedagogies']",Arnab Kundu,448,Education and Information Technologies,Economics 2
2377,"['Leadership', 'Unethical behavior', 'Pro-organizational unethical behavior', 'Altruism', 'LMX']",Will Bryant,1614,Journal of Business Ethics,Computer Science
2378,[],"Pablo Gastón Reyna, Nicolás Bejerman, Irma Graciela Laguna & Patricia Rodríguez Pardina",104,Archives of Virology,Psychology
2379,"['vegetation dynamics', 'seasonal variations', 'Bowen ratio', 'two-source modeling']","Pei Wang, Xiaoyan Li, Yaqin Tong, Yongmei Huang, Xiaofan Yang & Xiuchen Wu",88,Journal of Geographical Sciences,Geography
2380,"['Self-regulation', 'Resilience', 'Action orientation', 'Threshold concepts']",David M. Maloney,116,Contemporary School Psychology,Psychology
2381,"['Age trends', 'Incarceration', 'Transition to adulthood']",Sonja E. Siennick & Alex O. Widdowson,308,Journal of Developmental and Life-Course Criminology,Computer Science
2382,"['Greed', 'Multivariate pattern analysis', 'VBM', 'Reward circuitry', 'Intertemporal choice']","Qiang Wang, Shiyu Wei, Manman Zhang & Xuejun Bai",102,Brain Structure and Function,Philosophy
2383,"['E52', 'G23', 'G32']",Nicolas Crouzet,76,IMF Economic Review,Psychology
2384,"['land use morphology', 'theoretical model', 'multidisciplinary integration', 'horizontal comparison', 'rural restructuring', 'rural vitalization', 'land system science']","Hualou Long, Shuangshuang Tu, Yingnan Zhang & Yanfeng Jiang",118,Journal of Geographical Sciences,Psychology
2385,"['Atmospheric Seeing', 'Chromosphere']","Vishnu Unni. C, Sridharan Rengaswamy, B. Ravindra & K. Prabhu",35,Solar Physics,Geography
2386,"['Baidu real-time travel', 'car accessibility', 'public transport accessibility', 'modal accessibility gap', 'scenic spots', 'Xi’an City']",Li Wang & Xingchuan Gao,89,Chinese Geographical Science,Psychology 2
2387,[],Adrià Delhom & Gonzalo J. Olmo,217,The European Physical Journal C,Computer Science
2388,"['Endemic species', 'Grassland remote sensing', 'Grazing', 'Island biodiversity', 'Plant invasion', 'Urban settlements']",Bijeesh Kozhikkodan Veettil,125,Journal of Coastal Conservation,Geography
2389,"['\nMeriones unguiculatus\n', 'Transient ischemic episode', 'Ischemia-reperfusion injury', 'Hippocampus', 'CA1', '\nGyrus dentatus\n', 'Untargeted metabolomics', 'LC-QTOF-MS']","Olga Krupska, Małgorzata Beręsewicz-Haller & Barbara Zabłocka",496,Molecular Neurobiology,Education
2390,"['Auxiliary police', 'Chinese police', 'Institutional trust', 'Media exposure', 'Neighborhood context']",Ivan Y. Sun,178,Asian Journal of Criminology,Psychology
2391,[],Alvise Favotto,143,Human Rights Review,Education
2392,"['Nonhuman animals', 'Interspecies justice', 'Agency', 'Self-determination', 'Consent', 'Assent', 'Dissent']",Richard Healey,447,Philosophical Studies,Computer Science
2393,"['COVID-19', 'eConsults', 'Medical education', 'Medical student', 'Telemedicine', 'Curriculum development']",Adam R. Kopp,472,BMC Medical Education,Criminology and Crime Justice
2394,[],Minkyu Kim,32,Communications in Mathematical Physics,Education
2395,"['NMR', 'Metabolomics', 'Chemotherapy', 'Head and neck', 'Treatment outcome']","Łukasz Boguszewicz, Mateusz Ciszek, Agnieszka Skorupa & Maria Sokół",111,BMC Cancer,Psychology
2396,[],Philip M. Nichols,651,"Crime, Law and Social Change",Computer Science
